popularity,vote_count,id,genre_ids,title,vote_average,release_date
9.128,37,44032,"[28, 18]",Bending The Rules,5.6,2012-03-09
9.127,58,4832,[99],The 11th Hour,6.8,2007-08-17
9.126,80,15991,"[14, 27]",Bad Biology,4.9,2008-02-08
9.124,37,24778,"[27, 878, 10770]",Hydra,3.9,2009-02-20
9.123,336,13067,"[35, 18, 10749]",In the Land of Women,5.8,2007-04-16
9.123,34,8847,[99],Standard Operating Procedure,7.1,2008-02-12
9.122,806,308,"[35, 18, 9648, 10749]",Broken Flowers,6.9,2005-08-05
9.121,41,435117,"[10749, 10770]",The Birthday Wish,6.0,2017-01-21
9.121,61,60170,"[18, 10749]",Christopher and His Kind,6.4,2011-03-19
9.119,41,401689,"[28, 12, 14, 878]",Mythica: The Godslayer,5.9,2016-12-17
9.119,41,199933,"[18, 9648, 878]",Atlas Shrugged: Part III,4.0,2014-09-12
9.118,88,175555,"[35, 18]",A Madea Christmas,6.6,2013-12-13
9.117,78,135368,"[27, 53]",The Barrens,5.1,2012-09-28
9.114,45,256196,"[18, 10749, 10752]",Burning Blue,6.3,2013-06-29
9.114,80,159008,[99],Inequality for All,7.7,2013-01-19
9.112,62,7351,[18],Julia,7.2,2008-03-12
9.111,51,37722,"[18, 9648, 10749]",Waking the Dead,6.5,2000-03-24
9.111,115,13185,[18],Kidulthood,6.4,2006-03-03
9.11,361,84330,[99],Room 237,6.3,2012-10-26
9.105,226,36950,"[18, 10770]",You Don't Know Jack,7.0,2010-04-14
9.105,245,27374,"[27, 53]",Lake Mungo,6.1,2009-07-30
9.104,569,11171,[18],Mysterious Skin,7.5,2004-05-20
9.102,56,18828,"[28, 12, 35, 18, 10749]",Double Take,5.5,2001-01-12
9.102,380,1613,"[53, 28, 35, 80]",The 51st State,6.2,2001-12-07
9.1,31,37190,"[35, 27]",Transylmania,4.4,2009-12-04
9.099,127,172847,"[18, 53]",Scenic Route,6.2,2013-08-23
9.097,142,66150,"[99, 18]",Life in a Day,7.2,2011-01-27
9.096,82,46713,"[28, 12, 53]",Hunt to Kill,5.4,2010-10-11
9.093,49,314996,"[18, 9648, 53]",Nanny Cam,5.8,2014-12-28
9.093,84,114958,"[27, 878]",Storage 24,4.4,2012-06-29
9.091,348,14859,"[18, 10749, 10751]",Keith,7.2,2008-09-13
9.089,41,412003,"[10402, 10749]",Modern Life Is Rubbish,7.0,2017-06-22
9.089,75,79465,"[35, 18, 10749]",Loosies,5.7,2012-02-01
9.088,91,14940,"[35, 10749]",Gigantic,5.5,2008-09-09
9.087,55,14474,"[35, 10749]",The Oh in Ohio,5.4,2006-03-30
9.087,62,13408,"[28, 35]",The Wash,5.1,2001-11-16
9.086,56,15105,[35],Still Waiting...,4.9,2009-02-17
