movie,franchise
"May 21, 2009",Terminator
Terminator Salvation,Terminator
"Jul 1, 2003",Terminator
Terminator 3: Rise of the M…,Terminator
"Jul 2, 1991",Terminator
Terminator 2: Judgment Day,Terminator
"Oct 26, 1984",Terminator
The Terminator,Terminator
"Jun 17, 2016",Finding Nemo
Finding Dory,Finding Nemo
"May 30, 2003",Finding Nemo
Finding Nemo,Finding Nemo
"May 25, 1994",Beverly Hills Cop
Beverly Hills Cop III,Beverly Hills Cop
"May 20, 1987",Beverly Hills Cop
Beverly Hills Cop II,Beverly Hills Cop
"Dec 5, 1984",Beverly Hills Cop
Beverly Hills Cop,Beverly Hills Cop
"Oct 29, 2013",Home Alone
Home Alone: The Holiday Heist,Home Alone
Home Alone 4,Home Alone
"Dec 12, 1997",Home Alone
Home Alone III,Home Alone
"Nov 20, 1992",Home Alone
Home Alone 2: Lost in New York,Home Alone
"Nov 16, 1990",Home Alone
Home Alone,Home Alone
"Jul 10, 1998",Lethal Weapon
Lethal Weapon 4,Lethal Weapon
"May 15, 1992",Lethal Weapon
Lethal Weapon 3,Lethal Weapon
"Jul 7, 1989",Lethal Weapon
Lethal Weapon 2,Lethal Weapon
"Mar 6, 1987",Lethal Weapon
Lethal Weapon,Lethal Weapon
"Jul 29, 2016",Bourne
Jason Bourne,Bourne
"Aug 10, 2012",Bourne
The Bourne Legacy,Bourne
"Aug 3, 2007",Bourne
The Bourne Ultimatum,Bourne
"Jul 23, 2004",Bourne
The Bourne Supremacy,Bourne
"Jun 14, 2002",Bourne
The Bourne Identity,Bourne
"Jul 22, 2016",Ice Age
Ice Age: Collision Course,Ice Age
"Jul 13, 2012",Ice Age
Ice Age: Continental Drift,Ice Age
"Jul 1, 2009",Ice Age
Ice Age: Dawn of the Dinosaurs,Ice Age
"Mar 31, 2006",Ice Age
Ice Age: The Meltdown,Ice Age
"Mar 15, 2002",Ice Age
Ice Age,Ice Age
"Jun 11, 2021",Ghostbusters
Ghostbusters: Afterlife,Ghostbusters
"Jul 15, 2016",Ghostbusters
Ghostbusters,Ghostbusters
"Jun 16, 1989",Ghostbusters
Ghostbusters II,Ghostbusters
"Jun 8, 1984",Ghostbusters
Ghostbusters,Ghostbusters
"Jun 15, 2018",The Incredibles
Incredibles 2,The Incredibles
"Nov 5, 2004",The Incredibles
The Incredibles,The Incredibles
The Concorde: Airport '79,Airport
Airport '77,Airport
Airport 1975,Airport
Airport,Airport
"May 24, 1990",Back to the Future
Back to the Future Part III,Back to the Future
"Nov 22, 1989",Back to the Future
Back to the Future Part II,Back to the Future
"Jul 3, 1985",Back to the Future
Back to the Future,Back to the Future
"Dec 13, 2019",Jumanji
Jumanji: The Next Level,Jumanji
"Dec 20, 2017",Jumanji
Jumanji: Welcome to the Jungle,Jumanji
"Nov 11, 2005",Jumanji
Zathura,Jumanji
"Dec 15, 1995",Jumanji
Jumanji,Jumanji
"Jan 17, 2014",Jack Ryan
Jack Ryan: Shadow Recruit,Jack Ryan
"May 31, 2002",Jack Ryan
The Sum of All Fears,Jack Ryan
"Aug 3, 1994",Jack Ryan
Clear and Present Danger,Jack Ryan
"Jun 5, 1992",Jack Ryan
Patriot Games,Jack Ryan
"Mar 2, 1990",Jack Ryan
The Hunt for Red October,Jack Ryan
"Nov 5, 2003",Matrix
The Matrix Revolutions,Matrix
"May 15, 2003",Matrix
The Matrix Reloaded,Matrix
"Mar 31, 1999",Matrix
The Matrix,Matrix
"Jun 3, 2016",Teenage Mutant Ninja Turtles
Teenage Mutant Ninja Turtle…,Teenage Mutant Ninja Turtles
"Aug 8, 2014",Teenage Mutant Ninja Turtles
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles
"Mar 23, 2007",Teenage Mutant Ninja Turtles
TMNT,Teenage Mutant Ninja Turtles
"Mar 19, 1993",Teenage Mutant Ninja Turtles
Teenage Mutant Ninja Turtle…,Teenage Mutant Ninja Turtles
"Mar 22, 1991",Teenage Mutant Ninja Turtles
Teenage Mutant Ninja Turtle…,Teenage Mutant Ninja Turtles
"Mar 30, 1990",Teenage Mutant Ninja Turtles
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles
"Nov 22, 2019",Frozen
Frozen II,Frozen
"Nov 13, 2018",Frozen
Olafâs Frozen Adventure,Frozen
"Nov 22, 2013",Frozen
