popularity,vote_count,id,genre_ids,title,vote_average,release_date
49.986000000000004,14080,tt0903624,"[12, 14, 28]",The Hobbit: An Unexpected Journey,7.3,2012-11-26
49.152,765,tt7424200,"[16, 28, 35, 878]",Teen Titans Go! To the Movies,7.4,2018-07-27
49.953,62,tt8783146,"[28, 12, 878]",Jurassic Galaxy,4.3,2018-08-20
45.43,13395,tt2911666,"[28, 53]",John Wick,7.3,2014-10-22
58.058,6352,tt3450958,"[18, 878, 10752]",War for the Planet of the Apes,7.1,2017-07-11
48.221000000000004,6171,tt0455944,"[53, 28, 80]",The Equalizer,7.2,2014-09-24
51.793,1382,tt4007502,"[12, 16, 10751]",Frozen Fever,6.8,2015-03-09
49.638999999999996,8078,tt0398286,"[16, 10751]",Tangled,7.6,2010-11-24
53.045,1276,tt3513498,"[28, 12, 16, 35, 10751]",The Lego Movie 2: The Second Part,6.7,2019-01-26
54.927,5616,tt4477536,"[18, 10749]",Fifty Shades Freed,6.6,2018-01-17
43.467,55,tt3138192,"[10751, 14, 27]",Mostly Ghostly: Have You Met My Ghoulfriend?,5.7,2014-09-02
46.336999999999996,275,tt1946502,"[12, 16, 35, 14, 10402, 10751]",UglyDolls,6.7,2019-05-01
56.339,16793,tt1300854,"[28, 12, 878]",Iron Man 3,6.9,2013-04-18
45.479,4427,tt3235888,[27],It Follows,6.5,2014-05-07
46.078,204,tt5097410,"[10751, 35, 14]",Noelle,6.8,2019-11-12
41.662,4172,tt4263482,"[27, 18, 9648, 36]",The Witch,6.8,2015-11-11
50.131,8695,tt1790809,"[12, 28, 14, 35]",Pirates of the Caribbean: Dead Men Tell No Tales,6.6,2017-05-23
56.278999999999996,3192,tt3861390,"[12, 10751, 14]",Dumbo,6.7,2019-03-27
43.93,1454,tt4560436,"[28, 53]",Mile 22,6.1,2018-08-16
