id,studio,rating,budget,dom_gross,world_gross
tt1023111,Summit Entertainment,PG-13,20000000,24850922,41627431
tt3201640,,0,,,1451864
tt0455760,Universal Pictures,R,20000000,16809076,22382047
tt0455944,Sony Pictures Entertainment (SPE),R,55000000,101530738,192330738
tt1865567,,R,,,
tt2379713,Sony Pictures Entertainment (SPE),PG-13,245000000,200074609,880674609
tt7131622,Sony Pictures Entertainment (SPE),R,90000000,142502728,374343626
tt0175142,Miramax,R,19000000,157019771,278019771
tt1407050,,R,,,
tt6193408,,G,,,43091796
tt5670152,Lionsgate,R,,9186156,9515914
tt3289956,IFC Films,R,,10474,6170043
tt1217209,Walt Disney Studios Motion Pictures,PG,185000000,237283207,538983207
tt0377309,,0,,,558764
tt0266543,Walt Disney Studios Motion Pictures,G,94000000,380843261,940350194
tt0808146,,R,,,
tt0413267,DreamWorks,PG,160000000,322719944,813367380
tt2473682,Paramount Pictures,R,5000000,32462372,90894962
tt0390384,THINKFilm,PG-13,7000,424760,545436
tt1618442,Lionsgate,PG-13,90000000,27367660,146936910
tt3113696,,0,,,8196
tt6494418,,R,,,636366
tt2872518,Lionsgate,PG-13,,57386418,96942115
tt0382932,Walt Disney Studios Motion Pictures,G,150000000,206445654,623726085
tt1823672,Sony Pictures Entertainment (SPE),R,49000000,31569268,102811889
tt0329101,New Line Cinema,R,30000000,82622655,116632628
tt1661199,Walt Disney Studios Motion Pictures,PG,95000000,201151353,542351353
tt10006006,,0,,,
tt1229238,Paramount Pictures,PG-13,145000000,209397903,694713380
tt1131734,Twentieth Century Fox,R,16000000,16204793,31556061
tt1591095,FilmDistrict,PG-13,1500000,54009150,99557032
tt1397280,Twentieth Century Fox,PG-13,45000000,139854287,376152455
tt3522806,Lionsgate,R,,21218403,125729635
tt2179136,Warner Bros.,R,58800000,350126372,547426372
tt1365519,Warner Bros.,PG-13,94000000,58250803,274650803
tt2375779,,R,,,
tt0758746,Warner Bros.,R,19000000,65002019,91509154
tt1049413,Walt Disney Studios Motion Pictures,PG,175000000,293004164,735099102
tt8652584,,R,,,
tt3138192,,PG,,,
tt1216475,Walt Disney Studios Motion Pictures,G,200000000,191452396,559852396
tt0435761,Walt Disney Studios Motion Pictures,G,200000000,415004880,1066969703
tt1148204,Warner Bros.,R,,41596251,77912251
tt8663516,United Artists Releasing,R,10000000,29208403,44907074
tt2402101,A24,R,,208588,5090852
tt5792656,,R,,,111218
tt1179069,RADiUS-TWC,R,,,3205167
tt8323104,Warner Bros.,PG,,623088,623088
tt5052448,,R,,176040665,255429395
tt1080016,Twentieth Century Fox,PG,90000000,196573705,886686817
tt5254610,,R,,,1472770
tt1386697,Warner Bros.,PG-13,175000000,325100054,746846894
tt0387575,Rogue Pictures,R,12000000,17083732,24829644
tt1156398,Sony Pictures Entertainment (SPE),R,23600000,75590286,102392080
tt3256226,,0,,,
tt6306064,STX Entertainment,PG-13,35000000,31445012,59945012
tt2479478,,0,,,
tt3281548,Sony Pictures Entertainment (SPE),PG,40000000,108101214,216601214
tt1453405,Walt Disney Studios Motion Pictures,G,,268492764,743559607
tt0441773,DreamWorks,PG,130000000,215434591,631746197
tt1242432,Anchor Bay Films,R,2000000,93051,1278650
tt11229556,,0,,,
tt1291547,,0,,,
tt5726086,Universal Pictures,PG-13,10000000,67745330,167885588
tt2388771,Netflix,PG-13,,,
tt4382552,,0,,,
tt1605630,Universal Pictures,R,50000000,57011521,234989584
tt0433035,Walt Disney Studios Motion Pictures,PG-13,,85468508,299268508
tt10326928,,PG,,,
tt2404233,Lionsgate,PG-13,140000000,31153464,150680864
tt1951266,Lionsgate,PG-13,160000000,281723902,658344137
tt2103281,Twentieth Century Fox,PG-13,170000000,208545589,710644566
tt5697572,Universal Pictures,PG,95000000,27166770,73834284
tt6850820,STX Entertainment,R,25000000,35418723,53918723
tt3280262,,R,,,
tt3486626,Open Road Films (II),PG,40000000,28370522,68743485
tt1959563,Lionsgate,R,30000000,75468583,176600207
tt3748528,Walt Disney Studios Motion Pictures,PG-13,200000000,532177324,1056057720
tt1155076,Sony Pictures Entertainment (SPE),PG,40000000,176591618,359126022
tt4685940,,0,,,13723
tt0279967,,G,,,
tt2639336,Focus Features,R,,10532219,18653107
tt0436058,,R,,,
tt5709188,Global Road Entertainment,PG,,6501381,8467697
tt1298644,United Artists Releasing,PG-13,21000000,35417038,95017038
tt8110640,,0,,,
tt1467304,IFC Films,R,,181467,325113
tt0363771,Walt Disney Studios Motion Pictures,PG,180000000,291710957,745013115
tt0458339,Paramount Pictures,PG-13,140000000,176654505,370569774
tt1628841,Twentieth Century Fox,PG-13,165000000,103144286,389681935
tt2239822,STX Entertainment,PG-13,177200000,41189488,225874228
tt1213641,Universal Pictures,PG-13,59000000,44936545,105702570
tt0324216,New Line Cinema,R,9500000,80571655,107363905
tt5013056,Warner Bros.,PG-13,100000000,189740665,526949403
tt6086082,,PG-13,,,
tt2243537,Open Road Films (II),R,2500000,40041683,60159584
tt1179904,Paramount Pictures,R,15000,107918810,193355800
tt2357291,Twentieth Century Fox,G,103000000,131538435,498781117
tt6652708,Pure Flix Entertainment,PG,,5728940,7414178
tt0338526,Universal Pictures,PG-13,160000000,120177084,300157638
tt2224026,Twentieth Century Fox,PG,135000000,177397510,386041607
tt4530422,Paramount Pictures,R,38000000,21704844,41657844
tt1469304,Paramount Pictures,R,69000000,58060186,177856751
tt1785288,,R,,,
tt1259528,STX Entertainment,R,,44947622,80509622
tt0278731,Sony Pictures Classics,R,10000000,1642483,5808941
tt7784604,A24,R,,44069456,80200936
tt11112140,,0,,,
tt2226597,Twentieth Century Fox,PG-13,35000000,30348555,62832209
tt3322940,Warner Bros.,R,6500000,84273813,257579282
tt5097410,,G,,,
tt0245674,Warner Bros.,R,42000000,41867960,68467960
tt0800080,Universal Pictures,PG-13,150000000,134806913,264770996
tt4560436,STX Entertainment,R,50000000,36108758,66308758
tt0288477,Warner Bros.,R,20000000,30113491,68349884
tt0211443,New Line Cinema,R,11000000,13121555,17077882
tt1375670,Sony Pictures Entertainment (SPE),PG-13,80000000,162001186,271457301
tt5462326,,R,,,165962
tt2848292,Universal Pictures,PG-13,29000000,184296230,287144079
tt1071875,Sony Pictures Entertainment (SPE),PG-13,57000000,51774002,132563930
tt0454841,Fox Searchlight Pictures,R,15000000,41778863,70009308
tt7388562,Affirm Films,PG-13,5000000,17560475,25915966
